Art. Esp,Spanisch,Deutsch,Art. PT.,Portugiesisch
la,abuela,Grossmutter,a,avó
el,aceite,Öl,o,azeite
el,aeropuerto,Flughafen,o,aeroporto
el,aire,Luft,o,ar
el,alcohol,Alkohol,o,álcool
la,aldea,Dorf,a,aldera
la,alegría,Freude,a,alegria
la,algodón,Baumwolle,a,algodão
el,almuerzo,Mittagessen,o,almoço
la,alternativa,Alternative,a,alternativa
la,amistad,Freundschaft,a,amizade
la,análisis,Analyse,a,análise
el,ángel,Engel,o,anjo
lo,año,Jahr,o,ano
la,ansia,Begierde,a,ânsia
la,aparato,Gerät,o,aparelho
el,apellido,Nachname,o,apelido
la,araña,Spinne,a,aranha
el,árbol,Baum,a,árvore
la,arena,Sand,a,areia
el,ascensor,Aufzug,o,elevador
el,asunto,"Affäre, Angelegenheit",o,assunto
el,ataque,Angriff,o,ataque
el,autobús,Bus,o ,autocarro
el,autor,Autor,o,autor
la,aventura,Abenteuer,a,aventura
el,avión,Flugzeug,o,avião
el,azúcar,Zucker,o,açúcar
la,bandera,Flagge,a,bandeira
el,baño,Toilette,o,sanitário
el,barco,Boot,o,barco
el,batería,Batterie,a,pilha
la,belleza,Schönheit,a,beleza
la,bicicleta,Fahrrad,a,bicicleta
la,bola,Ball,a,bola
el,bolígrafo,Kugelschreiber,a,caneta
la,bolsa,Tasche,a,bolsa
la,bondad,Güte,a,bondade
la,botella,Flasche,a,garrafa
el,brazo,Arm,o,braço
el,caballo,Pferd,o,cavalo
el,cabello,Haar,o,cabelo 
la,cabeza,Kopf,a,cabeça
la,cadena,Kette,a,cadeia
la,caída,Sturz,a,queda
la,caja,Kasse,a,caixa
el,calendario,Kalender,o,calendário
la,calle,Strasse,a,rua
el,calzado,Schuh,,sapato
la,cama,Bett,a,cama
la,cámara,Kamera,a,câmera
el,camarero,Kellner,o,empregado
el,camión,LKW,o,camião
el,campo,Feld,o,campo
la,cantidad,Menge,a,quantidade
la,cara,Gesicht,a,cara
la,carne,Fleisch,a,carne
la,carrera,Karriere,a,carreira
el,cariño,Zuneigung,o,carinho
la,carta,Brief,a,carta
la,cartera,Brieftasche,a,carteira
la,cartera,Geldbeutel,a,carteira
el,castillo,Schloss,o,castelo
la,causa,Ursache,a,causa
la,célula,Zelle,a,célula
el,cercanías,S-Bahn,o,eléctrico
el,cerebro,Gehirn,o,cérebro
el,olor,Geruch,o,cheiro
la,chica,Mädchen,a,menina
el,cielo,Himmel,o,céu
la,ciencia,Wissenschaft,a,ciência
la,cine,Kino,o,cinema
la,ciudad,Stadt,a,cidade
el,ciudadano,Bürger,o,cidadão
el,coche,Auto,o,carro
la,cocina,Küche,a,cozinha
el,cocinero,Koch,o,cozinheiro
el,color,Farbe,a,cor
el,compañero,Partner,o,companheiro
la,competición,Wettbewerb,a,competição
el,comportamiento,Verhalten,o,comportamento
el,compromismo,Verpflichtung,a,obrigação
el,conductor,Fahrer,a,motorista
el,consejo,Ratschlag,o,conselho
el,control,Kontrolle,o,controlo
el,corazón,Herz,o,coração
el,corriente,Strom,a,correnteza
la,cortina,Vorhang,a,cortina
la,cosa,Sache,a,coisa
la,costumbre,Gewohnheit,a,costume
el,crimen,Verbrechen,o,crime
la,crisis,Krise,a,crise
la,cruz,Kreuz,a,cruz
el,cuarto,Zimmer,o,quarto
la,cuchara,Löffel,a,colher
el,cuchillo,Messer,a,faca
el,cuello,Hals,o,presoço
la,cuenta,Rechnung,a,conta
el,cuerpo,Körper,o,corpo
el,cumpleaños,Geburtstag,o,aniversário
el,cura/ sacerdote,Priester,o,padre / sacerdote
el,daño,Schaden,o,dano
la,danza,Tanz,a,dança
la,década,Jahrzehnt,a,década
el,dedo,Finger,o,dedo
la,defensa,Verteidigung,a,defensa
el,déficit,Defizit,o,défice
el,deporte,Sport,o,desporto
el,derecho,Recht,o,direito
el,desayuno,Frühstück,o,pequeno-almoço
el,descanso,Erholung,o,descanso
la,desenvolvimento,Entwicklung,a,desenvolvimento
el,deseo,Wunsch,o,desejo
el,destino,Ziel,o,destino
el,detalle,Detail,o,detalhe 
el,día,Tag,o,dia
la,diagnóstico,Diagnose,o,diagnóstico
el,diccionario,Wörterbuch,o,dicionário
el,diente,Zahn,o,dente
el,dinero,Geld,o,dinheiro
el,dios,Gott,o,deus
el,dolor,Schmerz,o,dor
el,dormitorio,Schlafzimmer,o,quarto
el,edificio,Gebäude,o,edifício
el,ejército,Armee,o,exército
la,elección,Wahl,a,eleição
la ,electricidad,Elektrizität,a,electricidade
la,embajada,Botschaft,a,embaixada
el,enemigo,Feind,o,inimigo
la,energía,Energie,a,energia
la,enfermedad,Krankheit,a,doença
la,entrega,Lieferung,a,entrega
el,equipaje,Gepäck,a ,bagagem
la,escalera,Treppe,a,escada
la,escena,Szene,a,cena
el,escritorio,Schreibtisch,a,secretária
la,escuela,Schule,a,escola
el,esfuerzo,Anstrengung,o,esforço
el,espacio,All,o,espaço
la,especialidad,Spezialität,a,especialidade
el,espejo,Spiegel,o,espelho
la,esperanza,Hoffnung,a,esperança
el,espíritu,Geist,o,espírito
el,esposo,Ehemann,o,esposo
la,esquina,Ecke,a,esquina
la,estabilidad,Stabilität,a,estabilidade
la,estación,Station,a,estação
la,estadística,Statistik,a,estadística
el,estante,Regal,a,estante
el,estilo,Stil,o,estilo
el,estómago,Magen,o,estômago 
la,estrella,Stern,a,estrela
lo,examen (exámenes),Test,o,exame
la,factura,Rechnung,a,fatura
el ,fan,Fan,o,fã
la,farmacia,Apotheke,a,farmácia
la,fe,Glaube,a,fé
la,fecha,Datum,a,data
la,fiesta,Party,a,festa
el,film,Film,o,filme
el,fin de semana,Wochenende,o,fim de semana
la,física,Physik,a,física
la,frente,Stirn,a,testa
la,fresa,Erdbeere,o,morango
el,frío,Kälte,o ,frio
la,frontera,Grenze,a,fronteira
el,fuego,Feuer,o,fogo
las,gafas,Brille,os,óculos
la,garganta,Kehle,a,garganta
la,gasolinera,Tankstelle,a,bomba de gasolina
el,gato,Katze,o,gato
el,gesto,Geste,o,gesto
el,gimnasio,Gym,o,ginásio
el,gobierno,Regierung,o,governo
el,hábito,Angewohnheit,o,hábito
el,hecho,Fakt,o,fato
el,hermano,Bruder,o,irmão
el,hijo,Sohn,o,filho
el,hombro,Schulter,o,ombro
la,hora,Stunde,a,hora
el,horno,Ofen,o,forno
el,hospital,Krankenhaus,o,hospital
el,hotel,Hotel,o,hotel
el ,hueso,Knochen,o,osso
el,huevo,Ei,o,ovo
la,humanidad,Menschheit,a,humanidade
el,humo,Rauch,o,fumo
la,iglesia,Kirche,a,ingreja
el,impuesto,Steuer,o,imposto
el,invierno,Winter,o,inverno
la,isla,Insel,a,ilha
el,jabón,Seife,o,sabão
el,jardín,Garten,o,jardim
la,jefa,Chef,o,chefe
el,joven,Jugendlicher,o,jovem
el,jugo,Saft,o,sumo
el,labio,Lippe,o,lábio
la,lágrima,Träne,a,lágrima
la,lámpara,Lampe,o,candeeiro
la,lana,Wolle,a,lã
la,lavadora,Waschmaschine,a,máquina de lavar roupa
la,leche,Milch,a ,leite
la,lengua,Zunge ,a,língua 
el,león,Löwe,o,leão
la,ley,Gesetz,a,lei
la,libertad,Freiheit,a,liberdade
el,libro,Buch,o,livro
el,líder,"Leiter, Führer",,líder
el,límite,Grenze,o,limite
el,limón,Zitrone,o,limão
la,lista,Liste,a,lista
la,llave,Schlüssel,a,chave
la,lluvia,Regen,a,chuva
el,lugar,Ort,o,lugar
el,lujo,Luxus,o,luxo
la,madera,Holz,a,madeira
la,madrugada,Morgendämmerung,la,madrugada
la,maleta,Koffer,a,mala
el,mano,Hand,a,mão
la,manzana,Apfel,a,maçã
el,mapa,Landkarte,o,mapa
la,máquina,Maschine,a,máquina
la,materia,Sachgebiet,a,matéria
el,matrimonio,Ehe,o,matrimónio
el,mechero,Feuerzeug,o,isqueiro
el,medicamento,Medikament,o,remédio
el,mente,Verstand,a,mente
el,mes,Monat,o,mês
la,mesa,Tisch,a,mesa
el,método,Methode,o,método
el,miedo,Angst,o,medo
el,minuto,Minute,o,minuto
la,misión,Mission,a,missão
la,mochila,Rucksack,a,mochila
el,momento,Moment,o,momento
la,moneda,Münze,a,moeda
el,monedero,Geldbeutel,o,porta-moedas
el,mono,Affe,o,macaco
la,montaña,Berg,a,montanha
la,motocicleta,Motorrad,a,moto
el,móvil,Handy,o,telemóvel
el,movimiento,Bewegung,o,movimento
la,mujer,Frau,a,mulher
el,mundo,Welt,o,mundo
el ,museo,Museum,o,mueso
la,naranja,Orange,a,laranja
la,nariz,Nase,o,nariz
la,naturaleza,Natur,a,natureza
la,noche,Nacht,a,noite
el,nombre,Name ,o, nome
la,nota,Notiz,a,nota
el,objeto,Objekt,o,objeto
la,obligación,Verpflichtung,a,obrigação
el,oído,Ohr,a,ouvido
el,ojo,Auge,o,olho
el,olor,Geruch,o,odor
el,orden,Befehl,o,ordem
la,ordenación,Ordnung,a,ordenação
el,ordenador,Computer,o,computador
la,oreja,Ohr,a,orelha 
el,órgano,Organ,o,órgão
el,oso,Bär,o,urso
el,otoño,Herbst,o,outono
la,página,Seite,a,página
el,pajaro,Vogel,o,pássaro
la,palabra,Wort,a,palavra
el,paladar,Gaumen,o,paladar
el,pan,Brot,o,pão
la,panderia,Bäckerei,a,padaria
el,pantalón,Hose,as,calças
el,papel,Papier,o,papel
el,paraíso,Paradies,o,paraíso
la,pared,Wand,a,parede
el,párrafo,Paragraph,o,parágrafo
el,partido,Partei,o,partido
el,pasajero,Passagier,o,passageiro
el,pasaporte,Reisepass,o,passaporte
la,pasta,Nudel,a,massa
la,pasta de dientes,Zahnpasta,a,pasta de dentes
el,pato,Ente,o,pato
la,pausa,Pause,o,intervalo/ pausa
el,pecado,Sünde,o,pecado
el,pecho,Brust,o,peito
el,peligro,Gefahr,o,pregio
la,peluquería,Friseur,o,cabeleireiro 
el,pensamiento,Gedanke,o,pensamento
la,pérdida,Verlust,a,perda
el,perfil,Profil,o,perfil
el,perro,Hund,o,cão
la,persona,Person,a,pessoa
el,pescado,Fisch,o,peixe
el,pie,Fuß,o,pé
la,pieca,Teil,a,peça
la,piedra,Stein,a,pedra
la,piel,Haut,a,pele
la,pierna,Bein,a,perna
la,piscina,Schwimmbecken,a,piscina
el,piso,Stockwerk,o,piso
la,pizarra,Tafel,o,quadro
el,placer,Vergnügen,o,prazer
el,plan,Plan,o,plano
el,planeta,Planet,o,planeta
el,plato,Teller,o,prato
la,playa,Strand,a,praia
la,plaza,Platz,a,praça
la,población,Bevölkerung,a,população
la,pobreza,Armut,a,pobreza
el,polvo,Staub,a,poeira
el,postre,Dessert,a,sobremesa
la,pregunta,Frage,a,pergunta
la,presencia,Anwesenheit,a,presença
la,primavera,Frühling,a,primavera
la,prisión,Gefängnis,a,prisão
la,profesión,Beruf,a,profissão
el,promedio,Durchschnitt,o,promédio
la,promes,Versprechen,a,promessa
la,propina,Trinkgeld,a,gorjeta
la,propuesta,Vorschlag,a,proposta
la,protección,Schutz,a,proteção
el,proyecto,Projekt,o,projeto
el,pueblo,Volk,o,povo
el,puente,Brücke,a,ponte
la,puerta,Tür,a,porta
el,puerto,Hafen,o,porto
el,puesto,Stelle,o,posto
el,punto,Punkt,o,ponto
el,queso,Käse,o,queijo 
la,química,Chemie,a,química
la,radio,Radio,a,rádio
la,raíz,Wurzel,a,raiz
la,razón,Grund,a,razão
la,recepción,Rezeption,a,receção
el,recurso,Ressource,o,recurso
el,refrigerador,Kühlschrank,o,frigorífico
la,regla,Regel,a,regra
la,relación,Beziehung,a,relação
la,religión,Religion,a,religião
el,reloj,Uhr,o,relógio
la,revista,Zeitschrift,a,revista
la,revolución,Revolution,a,revolução
el,riesgo,Risiko,o,risco
el,ritmo,Rhythmus,o,ritmo
la,rodilla,Knie,o,joelho
la,ropa,Kleidung,a,ropa
el,ruido,Lärm,o,barulho
el,sabor,Geschmack,o,sabor
la ,saciedad,Sättigun,a,saciedade
la,salud,Gesundheit,o,saúde
la,sangre,Blut,o,sangue 
el,sartén,Pfanne,a,sertã
la,secadora,Trockner,a,secadora
el,segundo,Sekunde,o,segundo
la,seguridad,Sicherheit,a,segurança
la,semana,Woche,a,semana
el,sentido,Sinn,o ,sentido
el,sentimiento,Gefühl,o,sentimento
la,siesta,Siesta,a,sesta
el,siglo,Jahrhundert,o,século
la,silla,Stuhl,a,cadeira
el ,sillón,Sessel,o,cadeirão
el,sofá,Sofa,o,sofá
el,soldado,Soldat,o,soldado
la,sombra,Schatten,a,sombra
el,sonido,Klang,o,som
la,sonrisa,Lächeln,o,sorriso
la,sopa,Suppe,a,sopa
la,sorpresa,Überraschung,a,surpresa
el,sótano,Keller,a,cave
el,suelo,Boden,o,chão
el,sueño,Schlaf,o,sono
el,sueño,Traum,o,sonho
la,superficie,Oberfläche,a,superfície
el,supermercado,Supermarkt,o,supermercado
el,susto,Schreck,o,susto
el,tamaño,Größe,a,tamanho
el,té,Tee,o,chá
el,teatro,Theater,o,teatro
la,tecnología,Technologie,a,tecnologia
el,teléfono,Telefon,o,telefone
la,televisión,TV,a,televisão
el,temor a,Furcht von,o,medo de
la,teoría,Theorie,a,teoría
el,testigo,Zeuge,a,testemunha
la,tienda,Laden,a,loja
la,tierra,Erde,a,terra
las,tijeras,Schere,a,tesoura
la,toalla,Handtuch,a,toalha
el,toque,Berührung,o,toque
el,trabajo,Arbeit,o,trabalho
el,traje,Anzug,o,fato
el,tratamiento,Behandlung,o,tratamento
el,tren,Zug,o,comboio
el,tribunal,Gericht,o,tribunal
las,vacaciones,Ferien,as,férias
la,variedad,Vielfalt,a,variedade
el,vaso,Glas,o,copo
el,vecino,Nachbar,o,vizinho
el,vehículo,Fahrzeug,o,veículo
la,ventana,Fenster,a,janela
el,verano,Sommer,o,verão
la,vez,Mal ,a,vez
la,viaje,Reise,a,viagem
el,víctima,Opfer,a,vítima
el,viento,Wind,o,vento
el,vino,Wein,o,vinho
el,volcán,Vulkan,o,vulcão
el,voluntad,Wille,a,vontade
,,Rache,a,vingança